city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,3
sj,2008,20,20
sj,2008,21,7
sj,2008,22,7
sj,2008,23,3
sj,2008,24,10
sj,2008,25,4
sj,2008,26,3
sj,2008,27,3
sj,2008,28,3
sj,2008,29,3
sj,2008,30,92
sj,2008,31,101
sj,2008,32,16
sj,2008,33,72
sj,2008,34,16
sj,2008,35,19
sj,2008,36,71
sj,2008,37,23
sj,2008,38,16
sj,2008,39,101
sj,2008,40,53
sj,2008,41,101
sj,2008,42,101
sj,2008,43,68
sj,2008,44,10
sj,2008,45,92
sj,2008,46,68
sj,2008,47,10
sj,2008,48,21
sj,2008,49,13
sj,2008,50,29
sj,2008,51,17
sj,2008,52,12
sj,2009,1,15
sj,2009,2,9
sj,2009,3,19
sj,2009,4,7
sj,2009,5,3
sj,2009,6,7
sj,2009,7,7
sj,2009,8,2
sj,2009,9,9
sj,2009,10,1
sj,2009,11,2
sj,2009,12,3
sj,2009,13,7
sj,2009,14,3
sj,2009,15,7
sj,2009,16,7
sj,2009,17,4
sj,2009,18,7
sj,2009,19,3
sj,2009,20,3
sj,2009,21,3
sj,2009,22,3
sj,2009,23,5
sj,2009,24,5
sj,2009,25,3
sj,2009,26,10
sj,2009,27,4
sj,2009,28,4
sj,2009,29,3
sj,2009,30,16
sj,2009,31,16
sj,2009,32,92
sj,2009,33,18
sj,2009,34,16
sj,2009,35,75
sj,2009,36,72
sj,2009,37,16
sj,2009,38,135
sj,2009,39,101
sj,2009,40,106
sj,2009,41,106
sj,2009,42,19
sj,2009,43,18
sj,2009,44,68
sj,2009,45,10
sj,2009,46,68
sj,2009,47,101
sj,2009,48,101
sj,2009,49,10
sj,2009,50,10
sj,2009,51,10
sj,2009,52,13
sj,2010,53,10
sj,2010,1,7
sj,2010,2,34
sj,2010,3,7
sj,2010,4,19
sj,2010,5,20
sj,2010,6,20
sj,2010,7,15
sj,2010,8,7
sj,2010,9,15
sj,2010,10,1
sj,2010,11,2
sj,2010,12,5
sj,2010,13,7
sj,2010,14,7
sj,2010,15,7
sj,2010,16,3
sj,2010,17,4
sj,2010,18,4
sj,2010,19,10
sj,2010,20,3
sj,2010,21,4
sj,2010,22,3
sj,2010,23,3
sj,2010,24,3
sj,2010,25,3
sj,2010,26,3
sj,2010,27,3
sj,2010,28,3
sj,2010,29,3
sj,2010,30,16
sj,2010,31,83
sj,2010,32,75
sj,2010,33,75
sj,2010,34,19
sj,2010,35,71
sj,2010,36,71
sj,2010,37,19
sj,2010,38,106
sj,2010,39,16
sj,2010,40,16
sj,2010,41,135
sj,2010,42,16
sj,2010,43,48
sj,2010,44,48
sj,2010,45,92
sj,2010,46,17
sj,2010,47,21
sj,2010,48,29
sj,2010,49,12
sj,2010,50,12
sj,2010,51,8
sj,2011,52,8
sj,2011,1,15
sj,2011,2,7
sj,2011,3,7
sj,2011,4,38
sj,2011,5,7
sj,2011,6,3
sj,2011,7,14
sj,2011,8,14
sj,2011,9,6
sj,2011,10,1
sj,2011,11,2
sj,2011,12,7
sj,2011,13,7
sj,2011,14,20
sj,2011,15,7
sj,2011,16,7
sj,2011,17,7
sj,2011,18,3
sj,2011,19,3
sj,2011,20,7
sj,2011,21,3
sj,2011,22,3
sj,2011,23,3
sj,2011,24,4
sj,2011,25,4
sj,2011,26,3
sj,2011,27,3
sj,2011,28,3
sj,2011,29,4
sj,2011,30,16
sj,2011,31,16
sj,2011,32,16
sj,2011,33,18
sj,2011,34,16
sj,2011,35,18
sj,2011,36,16
sj,2011,37,19
sj,2011,38,16
sj,2011,39,18
sj,2011,40,18
sj,2011,41,92
sj,2011,42,170
sj,2011,43,10
sj,2011,44,18
sj,2011,45,170
sj,2011,46,92
sj,2011,47,48
sj,2011,48,10
sj,2011,49,29
sj,2011,50,15
sj,2011,51,12
sj,2012,52,12
sj,2012,1,37
sj,2012,2,21
sj,2012,3,17
sj,2012,4,20
sj,2012,5,21
sj,2012,6,2
sj,2012,7,7
sj,2012,8,9
sj,2012,9,7
sj,2012,10,1
sj,2012,11,2
sj,2012,12,7
sj,2012,13,7
sj,2012,14,7
sj,2012,15,7
sj,2012,16,7
sj,2012,17,7
sj,2012,18,10
sj,2012,19,3
sj,2012,20,6
sj,2012,21,3
sj,2012,22,7
sj,2012,23,5
sj,2012,24,26
sj,2012,25,26
sj,2012,26,5
sj,2012,27,5
sj,2012,28,4
sj,2012,29,3
sj,2012,30,27
sj,2012,31,92
sj,2012,32,16
sj,2012,33,135
sj,2012,34,18
sj,2012,35,27
sj,2012,36,92
sj,2012,37,72
sj,2012,38,106
sj,2012,39,106
sj,2012,40,18
sj,2012,41,92
sj,2012,42,18
sj,2012,43,18
sj,2012,44,14
sj,2012,45,92
sj,2012,46,92
sj,2012,47,92
sj,2012,48,10
sj,2012,49,22
sj,2012,50,17
sj,2012,51,13
sj,2013,1,28
sj,2013,2,37
sj,2013,3,17
sj,2013,4,7
sj,2013,5,3
sj,2013,6,7
sj,2013,7,9
sj,2013,8,7
sj,2013,9,6
sj,2013,10,8
sj,2013,11,2
sj,2013,12,7
sj,2013,13,16
sj,2013,14,7
sj,2013,15,20
sj,2013,16,7
sj,2013,17,7
iq,2010,26,44
iq,2010,27,5
iq,2010,28,5
iq,2010,29,1
iq,2010,30,12
iq,2010,31,5
iq,2010,32,9
iq,2010,33,5
iq,2010,34,5
iq,2010,35,5
iq,2010,36,1
iq,2010,37,1
iq,2010,38,5
iq,2010,39,9
iq,2010,40,1
iq,2010,41,5
iq,2010,42,4
iq,2010,43,4
iq,2010,44,4
iq,2010,45,4
iq,2010,46,4
iq,2010,47,9
iq,2010,48,2
iq,2010,49,11
iq,2010,50,5
iq,2010,51,4
iq,2011,52,1
iq,2011,1,10
iq,2011,2,11
iq,2011,3,0
iq,2011,4,0
iq,2011,5,2
iq,2011,6,44
iq,2011,7,9
iq,2011,8,2
iq,2011,9,11
iq,2011,10,11
iq,2011,11,5
iq,2011,12,7
iq,2011,13,11
iq,2011,14,5
iq,2011,15,1
iq,2011,16,1
iq,2011,17,11
iq,2011,18,9
iq,2011,19,6
iq,2011,20,8
iq,2011,21,4
iq,2011,22,1
iq,2011,23,2
iq,2011,24,4
iq,2011,25,6
iq,2011,26,1
iq,2011,27,1
iq,2011,28,3
iq,2011,29,5
iq,2011,30,2
iq,2011,31,3
iq,2011,32,5
iq,2011,33,5
iq,2011,34,12
iq,2011,35,5
